,subspecies,pollen_carrying,"address_Alvin, TX, USA 77511","address_Athens, GA, USA 30607","address_Des Moines, IA, USA 50315","address_Keene, NH, USA 3431","address_New Orleans, LA, USA 70115","address_Saratoga, CA, USA 95070","health_Varroa, Small Hive Beetles",health_ant problems,"health_few varrao, hive beetles",health_healthy,health_missing queen,Day Time_Morning,Day Time_Afternoon,Day Time_Evening,month_7,month_8
74,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
75,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
76,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
77,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
78,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
79,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
80,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
81,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
82,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
83,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
84,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
85,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
86,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
87,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
88,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
89,Italian honey bee,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
90,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
91,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
92,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
93,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
94,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
95,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
96,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
97,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
98,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
99,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
100,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
101,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
102,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
103,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
104,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
105,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
106,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
107,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
108,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
109,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
110,Italian honey bee,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
